id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
57,apa itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
58,Waktu KHS dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
59,kapan khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
60,Kapan KHS dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
61,Apa itu IPS?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
62,Definisi dari IPS?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
63,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
64,Apa itu IPK ya?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
65,Definisi dari IPK?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
66,Apa itu IPK?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
67,Apa saja surat akademik yang dilayani BAAK?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
68,Apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
69,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
70,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
71,Berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
72,Berapa lama proses surat akademik ya?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
73,Apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
74,apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
75,Apa yang dimaksud dengan kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
76,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
77,Apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
78,Apakah kalender akademik bersifat wajib ya?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
79,Definisi dari Universitas Mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
80,Apa itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
81,apa itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
82,Di mana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
83,Dimana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
84,Dimana lokasi kampus utama ya?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
85,kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
86,Kapan jadwal kuliah dimulai setiap semester ya?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
87,Kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
88,Berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
89,Berapa biaya kuliah di Universitas Mulia ya?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
90,berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
91,Dimana lokasi kampus Universitas Mulia?,"Kampus utama Universitas Mulia berlokasi di Jalan Letjen Zaini Azhar Maulani Balikpapan, Kalimantan Timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
92,dimana lokasi kampus universitas mulia?,"Kampus utama Universitas Mulia berlokasi di Jalan Letjen Zaini Azhar Maulani Balikpapan, Kalimantan Timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
93,Dimana lokasi kampus universitas mulia?,"Kampus utama Universitas Mulia berlokasi di Jalan Letjen Zaini Azhar Maulani Balikpapan, Kalimantan Timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
94,nan,,,,
95,nan ya?,,,,
96,Nan,,,,
