id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
57,apa itu khs?,KHS adalah Kartu Hasil Studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
58,Waktu KHS dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
59,kapan khs dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
60,Kapan KHS dapat dilihat?,KHS dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
61,Apa itu IPS?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
62,Definisi dari IPS?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
63,apa itu ips?,IPS adalah Indeks Prestasi Semester.,Akademik,Setiap Semester,Panduan Akademik
64,Apa itu IPK ya?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
65,Definisi dari IPK?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
66,Apa itu IPK?,IPK adalah Indeks Prestasi Kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
67,Apa saja surat akademik yang dilayani BAAK?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
68,Apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
69,apa saja surat akademik yang dilayani baak?,"BAAK melayani surat aktif kuliah, KHS, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
70,berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
71,Berapa lama proses surat akademik?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
72,Berapa lama proses surat akademik ya?,Proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
73,Apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
74,apa itu kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
75,Apa yang dimaksud dengan kalender akademik?,Kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
76,apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
77,Apakah kalender akademik bersifat wajib?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
78,Apakah kalender akademik bersifat wajib ya?,"Ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
79,Definisi dari Universitas Mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
80,Apa itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
81,apa itu universitas mulia?,Universitas Mulia adalah perguruan tinggi swasta di Balikpapan,Profil,Kurikulum 2024,Website Resmi
82,Di mana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
83,Dimana lokasi kampus utama?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
84,Dimana lokasi kampus utama ya?,"Kampus utama berlokasi di Jalan Letjen Zaini Azhar Maulani, Balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
85,kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
86,Kapan jadwal kuliah dimulai setiap semester ya?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
87,Kapan jadwal kuliah dimulai setiap semester?,Jadwal kuliah dimulai sesuai kalender akademik Universitas Mulia biasanya dua minggu setelah pengisian KRS selesai.,Akademik,Setiap Semester,Kalender Akademik
88,Berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
89,Berapa biaya kuliah di Universitas Mulia ya?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
90,berapa biaya kuliah di universitas mulia?,Biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan Informasi rinci dapat dilihat pada situs resmi Universitas Mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
91,Dimana lokasi kampus Universitas Mulia?,"Kampus utama Universitas Mulia berlokasi di Jalan Letjen Zaini Azhar Maulani Balikpapan, Kalimantan Timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
92,dimana lokasi kampus universitas mulia?,"Kampus utama Universitas Mulia berlokasi di Jalan Letjen Zaini Azhar Maulani Balikpapan, Kalimantan Timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
93,Dimana lokasi kampus universitas mulia?,"Kampus utama Universitas Mulia berlokasi di Jalan Letjen Zaini Azhar Maulani Balikpapan, Kalimantan Timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
1_aug0,apakah itu baak?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
1_aug1,apa itu baak?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
1_aug2,apa itu baak?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
2_aug0,apa itu itu baak ya?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
2_aug1,apa itu itu baak ya?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
2_aug2,apakah itu baak ya?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
3_aug0,apa itu yang dimaksud dengan baak?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
3_aug1,apa yang dimaksud dengan baak?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
3_aug2,apa yang dimaksud dengan baak?,BAAK adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
4_aug0,apakah tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
4_aug1,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
4_aug2,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
5_aug0,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
5_aug1,apa itu tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
5_aug2,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
6_aug0,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
6_aug1,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
6_aug2,apa tugas utama baak?,"BAAK bertugas mengelola KRS, KHS, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
7_aug0,di mana layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
7_aug1,di mana layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
7_aug2,di mana layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
8_aug0,lokasi layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
8_aug1,dimana layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
8_aug2,tempat layanan akademik diproses?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
9_aug0,lokasi layanan akademik diproses ya?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
9_aug1,lokasi layanan akademik diproses ya?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
9_aug2,tempat layanan akademik diproses ya?,Seluruh layanan akademik diproses melalui BAAK Universitas Mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
10_aug0,apakah itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
10_aug1,apakah itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
10_aug2,apa itu itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
11_aug0,apa itu itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
11_aug1,apa itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
11_aug2,apakah itu krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
12_aug0,definisi dari krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
12_aug1,definisi dari krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
12_aug2,definisi dari krs?,KRS adalah Kartu Rencana Studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
13_aug0,kapan pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
13_aug1,kapan sih pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
13_aug2,waktu pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
14_aug0,kapan pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
14_aug1,kapan sih pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
14_aug2,kapan pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
15_aug0,kapan pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
15_aug1,kapan sih pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
15_aug2,waktu pengisian krs dilakukan?,Pengisian KRS dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
16_aug0,di mana isi krs?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
16_aug1,di mana mengisi krs?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
16_aug2,di mana input krs?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
17_aug0,tempat input krs ya?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
17_aug1,dimana isi krs ya?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
17_aug2,di mana isi krs ya?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
18_aug0,dimana mengisi krs?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
18_aug1,di mana isi krs?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
18_aug2,dimana mengisi krs?,KRS diisi melalui Sistem Informasi Akademik (SIAM).,Akademik,Setiap Semester,BAAK
19_aug0,apakah krs wajib divalidasi ya?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
19_aug1,apakah krs wajib divalidasi ya?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
19_aug2,apakah krs wajib divalidasi ya?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
20_aug0,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
20_aug1,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
20_aug2,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
21_aug0,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
21_aug1,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
21_aug2,apakah krs wajib divalidasi?,"Ya, KRS wajib divalidasi oleh Dosen Pembimbing Akademik.",Akademik,Setiap Semester,Panduan BAAK
22_aug0,apakah akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
22_aug1,apa akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
22_aug2,apa akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
23_aug0,apakah akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
23_aug1,apa itu akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
23_aug2,apakah akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
24_aug0,apa akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
24_aug1,apakah akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
24_aug2,apa akibat krs tidak divalidasi?,Mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
25_aug0,apa itu itu semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
25_aug1,apa itu semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
25_aug2,apa itu itu semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
26_aug0,apa itu semester antara ya?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
26_aug1,apa itu itu semester antara ya?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
26_aug2,apa itu semester antara ya?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
27_aug0,apa yang dimaksud dengan semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
27_aug1,apakah yang dimaksud dengan semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
27_aug2,apa yang dimaksud dengan semester antara?,Semester Antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
28_aug0,berapa maksimal sks semester antara ya?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
28_aug1,berapa maksimal sks semester antara ya?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
28_aug2,berapa maksimal sks semester antara ya?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
29_aug0,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
29_aug1,berapa maksimal sks semester antara?,Maksimal SKS Semester Antara adalah 9 SKS.,Akademik,Antar Semester,Panduan BAAK
