id,pertanyaan,jawaban,kategori,semester_berlaku,sumber
61,Apa itu IPS?,ips adalah indeks prestasi semester.,Akademik,Setiap Semester,Panduan Akademik
62,Definisi dari IPS?,ips adalah indeks prestasi semester.,Akademik,Setiap Semester,Panduan Akademik
63,apa itu ips?,ips adalah indeks prestasi semester.,Akademik,Setiap Semester,Panduan Akademik
64,Apa itu IPK ya?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
65,Definisi dari IPK?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
66,Apa itu IPK?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
67,Apa saja surat akademik yang dilayani BAAK?,"baak melayani surat aktif kuliah, khs, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
68,Apa saja surat akademik yang dilayani baak?,"baak melayani surat aktif kuliah, khs, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
69,apa saja surat akademik yang dilayani baak?,"baak melayani surat aktif kuliah, khs, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
70,berapa lama proses surat akademik?,proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
71,Berapa lama proses surat akademik?,proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
72,Berapa lama proses surat akademik ya?,proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
73,Apa itu kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
74,apa itu kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
75,Apa yang dimaksud dengan kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
76,apakah kalender akademik bersifat wajib?,"ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
77,Apakah kalender akademik bersifat wajib?,"ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
78,Apakah kalender akademik bersifat wajib ya?,"ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
79,Definisi dari Universitas Mulia?,universitas mulia adalah perguruan tinggi swasta di balikpapan,Profil,Kurikulum 2024,Website Resmi
80,Apa itu universitas mulia?,universitas mulia adalah perguruan tinggi swasta di balikpapan,Profil,Kurikulum 2024,Website Resmi
81,apa itu universitas mulia?,universitas mulia adalah perguruan tinggi swasta di balikpapan,Profil,Kurikulum 2024,Website Resmi
82,Di mana lokasi kampus utama?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
83,Dimana lokasi kampus utama?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
84,Dimana lokasi kampus utama ya?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
85,kapan jadwal kuliah dimulai setiap semester?,jadwal kuliah dimulai sesuai kalender akademik universitas mulia biasanya dua minggu setelah pengisian krs selesai.,Akademik,Setiap Semester,Kalender Akademik
86,Kapan jadwal kuliah dimulai setiap semester ya?,jadwal kuliah dimulai sesuai kalender akademik universitas mulia biasanya dua minggu setelah pengisian krs selesai.,Akademik,Setiap Semester,Kalender Akademik
87,Kapan jadwal kuliah dimulai setiap semester?,jadwal kuliah dimulai sesuai kalender akademik universitas mulia biasanya dua minggu setelah pengisian krs selesai.,Akademik,Setiap Semester,Kalender Akademik
88,Berapa biaya kuliah di universitas mulia?,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
89,Berapa biaya kuliah di Universitas Mulia ya?,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
90,berapa biaya kuliah di universitas mulia?,biaya kuliah bervariasi tergantung program studi dan jenjang pendidikan informasi rinci dapat dilihat pada situs resmi universitas mulia di bagian biaya pendidikan.,Profil,Berlaku Sepanjang Tahun,Website Resmi
91,Dimana lokasi kampus Universitas Mulia?,"kampus utama universitas mulia berlokasi di jalan letjen zaini azhar maulani balikpapan, kalimantan timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
92,dimana lokasi kampus universitas mulia?,"kampus utama universitas mulia berlokasi di jalan letjen zaini azhar maulani balikpapan, kalimantan timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
93,Dimana lokasi kampus universitas mulia?,"kampus utama universitas mulia berlokasi di jalan letjen zaini azhar maulani balikpapan, kalimantan timur.",Profil,Berlaku Sepanjang Tahun,Website Resmi
94,Kurikulum - 2025/2026,kurikulum - 2025/2026 - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/kurikulum-2025-2026/
95,Login Email Mahasiswa,login email mahasiswa - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/login-email-mahasiswa/
96,Surat Cuti Akademik,surat cuti akademik - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/surat-cuti-akademik/
97,kontak admin,kontak admin bisa hubungi wa 0855,Administrasi,seluruh semester,BAAK
98,Kurikulum - 2024/2025,kurikulum - 2024/2025 - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/kurikulum-2024-2025/
99,Surat Pindah Program Studi,surat pindah program studi - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/surat-pindah-program-studi/
100,Pembagian Kelas Mahasiswa Baru 2024/2025,pembagian kelas mahasiswa baru 2024/2025 - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/pembagian-kelas-mahasiswa-baru-2022-2023/
101,Perubahan Data Mahasiswa,perubahan data mahasiswa - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/perubahan-data-mahasiswa/
102,PMB Universitas Mulia – Peneriman Mahasiswa Baru Universitas Mulia,pmb universitas mulia – peneriman mahasiswa baru universitas mulia close pmb universitas mulia ,BAAK,Umum,https://pmb.universitasmulia.ac.id
103,Pemberitahuan Akademik Genap 2021/2022,pemberitahuan akademik genap 2021/2022 - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/pemberitahuan-akademik-genap-2021-2022/
104,Pemberitahuan Akademik Ganjil 2021/2022,pemberitahuan akademik ganjil 2021/2022 - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/pemberitahuan-akademik-ganjil-2021-2022/
105,Panduan Validasi KRS,panduan validasi krs - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/panduan-validasi-krs/
106,Fakultas Ilmu Komputer - Fakultas Ilmu Komputer Universitas Mulia,fakultas ilmu komputer - fakultas ilmu komputer universitas mulia fakultas ilmu komputer universitas mulia,BAAK,Umum,https://fikom.universitasmulia.ac.id
107,Surat Pindah Waktu Kuliah,surat pindah waktu kuliah - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/surat-pindah-waktu-kuliah/
108,Sosialisasi MSIB Batch 7: Kiat Sukses Program Merdeka Belajar Kampus Merdeka,sosialisasi msib batch 7: kiat sukses program merdeka belajar kampus merdeka - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/sosialisasi-msib-batch-7-kiat-sukses-program-merdeka-belajar-kampus-merdeka/
109,Home Page - Fakultas Humaniora dan Kesehatan,home page - fakultas humaniora dan kesehatan fakultas humaniora dan kesehatan home profile ,BAAK,Umum,https://fhk.universitasmulia.ac.id
110,Surat Keterangan Aktif Kuliah,surat keterangan aktif kuliah - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/surat-keterangan-aktif-kuliah/
111,Surat Pindah Kuliah,surat pindah kuliah - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/surat-pindah-kuliah/
112,Info Akademik Genap 2023/2024,info akademik genap 2023/2024 - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/info-akademik-genap-2023-2024/
113,Panduan KRS Semester Antara,panduan krs semester antara - baak baak,BAAK,Umum,https://baak.universitasmulia.ac.id/panduan-krs-semester-antara/
114,apakah itu baak?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
115,apa itu baak?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
116,apa itu itu baak ya?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
117,apakah itu baak ya?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
118,apa itu yang dimaksud dengan baak?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
119,apa yang dimaksud dengan baak?,baak adalah biro yang mengelola administrasi dan layanan akademik mahasiswa.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
120,apakah tugas utama baak?,"baak bertugas mengelola krs, khs, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
121,apa itu tugas utama baak?,"baak bertugas mengelola krs, khs, kalender akademik, dan layanan administrasi akademik.",Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
122,di mana layanan akademik diproses?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
123,lokasi layanan akademik diproses?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
123,tempat layanan akademik diproses?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
124,lokasi layanan akademik diproses ya?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
125,tempat layanan akademik diproses ya?,seluruh layanan akademik diproses melalui baak universitas mulia.,Profil,Berlaku Sepanjang Tahun,BAAK Universitas Mulia
126,apakah itu krs?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
127,apa itu itu krs?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
128,apa itu krs?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
129,definisi dari krs?,krs adalah kartu rencana studi yang berisi mata kuliah yang diambil mahasiswa setiap semester.,Akademik,Setiap Semester,Panduan BAAK
130,kapan sih pengisian krs dilakukan?,pengisian krs dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
131,waktu pengisian krs dilakukan?,pengisian krs dilakukan pada awal semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
132,di mana isi krs?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
133,di mana mengisi krs?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
134,di mana input krs?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
135,tempat input krs ya?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
136,dimana isi krs ya?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
137,di mana isi krs ya?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
138,dimana mengisi krs?,krs diisi melalui sistem informasi akademik (siam).,Akademik,Setiap Semester,BAAK
139,apakah krs wajib divalidasi ya?,"ya, krs wajib divalidasi oleh dosen pembimbing akademik.",Akademik,Setiap Semester,Panduan BAAK
140,apakah akibat krs tidak divalidasi?,mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
141,apa itu akibat krs tidak divalidasi?,mahasiswa tidak dapat mengikuti perkuliahan dan ujian.,Akademik,Setiap Semester,Panduan BAAK
142,apa itu itu semester antara?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
143,apa itu semester antara ya?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
144,apa itu itu semester antara ya?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
145,apa yang dimaksud dengan semester antara?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
146,apakah yang dimaksud dengan semester antara?,semester antara adalah semester pendek untuk mengulang mata kuliah.,Akademik,Antar Semester,BAAK
147,berapa maksimal sks semester antara ya?,maksimal sks semester antara adalah 9 sks.,Akademik,Antar Semester,Panduan BAAK
148,apa itu cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
149,apa yang dimaksud dengan cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
150,apa itu yang dimaksud dengan cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
151,definisi dari cuti akademik?,cuti akademik adalah izin tidak mengikuti perkuliahan dalam periode tertentu.,Akademik,Berlaku Sepanjang Tahun,BAAK
152,berapa lama cuti akademik ya?,cuti akademik minimal 1 semester dan maksimal 3 semester tidak berturut-turut.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
153,gimana cara mengajukan cuti?,mahasiswa mengisi formulir cuti dan mengajukannya ke baak.,Akademik,Berlaku Sepanjang Tahun,BAAK
154,bagaimana cara cara mengajukan cuti?,mahasiswa mengisi formulir cuti dan mengajukannya ke baak.,Akademik,Berlaku Sepanjang Tahun,BAAK
155,apa itu syarat mengikuti uts?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
156,apakah syarat mengikuti uts?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
157,apa syarat mengikuti uts ya?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
158,apa itu syarat mengikuti uts ya?,mahasiswa harus memiliki krs valid dan me,Akademik,Setiap Semester,Panduan Akademik
159,apakah syarat mengikuti uas?,mahasiswa harus me,Akademik,Setiap Semester,Panduan Akademik
160,apa syarat mengikuti uas ya?,mahasiswa harus me,Akademik,Setiap Semester,Panduan Akademik
161,apa itu syarat mengikuti uas ya?,mahasiswa harus me,Akademik,Setiap Semester,Panduan Akademik
162,waktu uts dilaksanakan?,uts dilaksanakan pada pertengahan semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
163,waktu uas dilaksanakan?,uas dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
164,kapan sih uas dilaksanakan?,uas dilaksanakan pada akhir semester sesuai kalender akademik.,Akademik,Semester Ganjil & Genap,Kalender Akademik
165,apa itu khs ya?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
166,apakah itu khs ya?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
167,apa itu itu khs?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
168,apakah itu khs?,khs adalah kartu hasil studi yang memuat nilai mahasiswa.,Akademik,Setiap Semester,BAAK
169,waktu khs dapat dilihat?,khs dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
170,kapan sih khs dapat dilihat?,khs dapat dilihat setelah dosen menyelesaikan penginputan nilai.,Akademik,Setiap Semester,BAAK
171,apakah itu ips?,ips adalah indeks prestasi semester.,Akademik,Setiap Semester,Panduan Akademik
172,definisi dari ips?,ips adalah indeks prestasi semester.,Akademik,Setiap Semester,Panduan Akademik
173,apa itu ipk ya?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
174,apakah itu ipk ya?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
175,definisi dari ipk?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
176,apa itu ipk?,ipk adalah indeks prestasi kumulatif mahasiswa.,Akademik,Berlaku Sepanjang Tahun,Panduan Akademik
177,apa itu saja surat akademik yang dilayani baak?,"baak melayani surat aktif kuliah, khs, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
178,apakah saja surat akademik yang dilayani baak?,"baak melayani surat aktif kuliah, khs, transkrip nilai, dan surat pindah.",Administrasi,Berlaku Sepanjang Tahun,BAAK
179,berapa lama proses surat akademik ya?,proses surat akademik umumnya memerlukan beberapa hari kerja.,Administrasi,Berlaku Sepanjang Tahun,BAAK
180,apakah itu kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
181,apa itu itu kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
182,apa itu yang dimaksud dengan kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
183,apakah yang dimaksud dengan kalender akademik?,kalender akademik adalah acuan resmi jadwal kegiatan akademik.,Akademik,Tahunan,SK Kalender Akademik
184,apakah kalender akademik bersifat wajib ya?,"ya, kalender akademik wajib dijadikan acuan seluruh civitas akademika.",Akademik,Tahunan,SK Kalender Akademik
185,definisi dari universitas mulia?,universitas mulia adalah perguruan tinggi swasta di balikpapan,Profil,Kurikulum 2024,Website Resmi
186,apakah itu universitas mulia?,universitas mulia adalah perguruan tinggi swasta di balikpapan,Profil,Kurikulum 2024,Website Resmi
187,apa itu itu universitas mulia?,universitas mulia adalah perguruan tinggi swasta di balikpapan,Profil,Kurikulum 2024,Website Resmi
188,di mana lokasi kampus utama?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
189,dimana lokasi kampus utama?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
190,dimana lokasi kampus utama ya?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
191,lokasi lokasi kampus utama ya?,"kampus utama berlokasi di jalan letjen zaini azhar maulani, balikpapan",Profil,Berlaku Sepanjang Tahun,Website Resmi
